합체,형태소,품사,분류,카운트,상대빈도,시각화용,,
Dc_Alpha,Dc,Alpha,교촌 Before,2,0.00%,Dc Dc ,,
Delicious_Alpha,Delicious,Alpha,교촌 Before,2,0.00%,Delicious Delicious ,,
Delphi_Alpha,Delphi,Alpha,교촌 Before,1,0.00%,Delphi ,,
Dkdb_Alpha,Dkdb,Alpha,교촌 Before,1,0.00%,Dkdb ,,
Do_Alpha,Do,Alpha,교촌 Before,2,0.00%,Do Do ,,
Documentary_Alpha,Documentary,Alpha,교촌 Before,1,0.00%,Documentary ,,
Doh_Alpha,Doh,Alpha,교촌 Before,1,0.00%,Doh ,,
Don_Alpha,Don,Alpha,교촌 Before,1,0.00%,Don ,,
Dong_Alpha,Dong,Alpha,교촌 Before,1,0.00%,Dong ,,
DongHoon_Alpha,DongHoon,Alpha,교촌 Before,1,0.00%,DongHoon ,,
Drama_Alpha,Drama,Alpha,교촌 Before,1,0.00%,Drama ,,
Dream_Alpha,Dream,Alpha,교촌 Before,1,0.00%,Dream ,,
Duke_Alpha,Duke,Alpha,교촌 Before,1,0.00%,Duke ,,
Dunn_Alpha,Dunn,Alpha,교촌 Before,1,0.00%,Dunn ,,
Dylan_Alpha,Dylan,Alpha,교촌 Before,1,0.00%,Dylan ,,
Dzxc_Alpha,Dzxc,Alpha,교촌 Before,1,0.00%,Dzxc ,,
E_Alpha,E,Alpha,교촌 Before,2,0.00%,E E ,,
EASY_Alpha,EASY,Alpha,교촌 Before,1,0.00%,EASY ,,
EE_Alpha,EE,Alpha,교촌 Before,1,0.00%,EE ,,
EP_Alpha,EP,Alpha,교촌 Before,2,0.00%,EP EP ,,
ER_Alpha,ER,Alpha,교촌 Before,1,0.00%,ER ,,
ERAS_Alpha,ERAS,Alpha,교촌 Before,1,0.00%,ERAS ,,
EUN_Alpha,EUN,Alpha,교촌 Before,1,0.00%,EUN ,,
EX_Alpha,EX,Alpha,교촌 Before,1,0.00%,EX ,,
Ed_Alpha,Ed,Alpha,교촌 Before,1,0.00%,Ed ,,
Edgar_Alpha,Edgar,Alpha,교촌 Before,1,0.00%,Edgar ,,
Ee_Alpha,Ee,Alpha,교촌 Before,1,0.00%,Ee ,,
Eee_Alpha,Eee,Alpha,교촌 Before,1,0.00%,Eee ,,
Elice_Alpha,Elice,Alpha,교촌 Before,1,0.00%,Elice ,,
En_Alpha,En,Alpha,교촌 Before,1,0.00%,En ,,
Enter_Alpha,Enter,Alpha,교촌 Before,1,0.00%,Enter ,,
Ep_Alpha,Ep,Alpha,교촌 Before,1,0.00%,Ep ,,
Errorcode_Alpha,Errorcode,Alpha,교촌 Before,1,0.00%,Errorcode ,,
Erwin_Alpha,Erwin,Alpha,교촌 Before,1,0.00%,Erwin ,,
Every_Alpha,Every,Alpha,교촌 Before,1,0.00%,Every ,,
Eye_Alpha,Eye,Alpha,교촌 Before,1,0.00%,Eye ,,
Eyo_Alpha,Eyo,Alpha,교촌 Before,1,0.00%,Eyo ,,
FAMILY_Alpha,FAMILY,Alpha,교촌 Before,1,0.00%,FAMILY ,,
FC_Alpha,FC,Alpha,교촌 Before,1,0.00%,FC ,,
FF_Alpha,FF,Alpha,교촌 Before,1,0.00%,FF ,,
FIRST_Alpha,FIRST,Alpha,교촌 Before,1,0.00%,FIRST ,,
FOOD_Alpha,FOOD,Alpha,교촌 Before,1,0.00%,FOOD ,,
FRIED_Alpha,FRIED,Alpha,교촌 Before,1,0.00%,FRIED ,,
FUCKING_Alpha,FUCKING,Alpha,교촌 Before,1,0.00%,FUCKING ,,
FUxxTUBE_Alpha,FUxxTUBE,Alpha,교촌 Before,1,0.00%,FUxxTUBE ,,
FlyJT_Alpha,FlyJT,Alpha,교촌 Before,1,0.00%,FlyJT ,,
Food_Alpha,Food,Alpha,교촌 Before,1,0.00%,Food ,,
Free_Alpha,Free,Alpha,교촌 Before,1,0.00%,Free ,,
FreeSoul_Alpha,FreeSoul,Alpha,교촌 Before,1,0.00%,FreeSoul ,,
Fried_Alpha,Fried,Alpha,교촌 Before,4,0.01%,Fried Fried Fried Fried ,,
G_Alpha,G,Alpha,교촌 Before,3,0.00%,G G G ,,
GAMDYO_Alpha,GAMDYO,Alpha,교촌 Before,1,0.00%,GAMDYO ,,
GAME_Alpha,GAME,Alpha,교촌 Before,2,0.00%,GAME GAME ,,
GM_Alpha,GM,Alpha,교촌 Before,1,0.00%,GM ,,
GOOD_Alpha,GOOD,Alpha,교촌 Before,2,0.00%,GOOD GOOD ,,
GRAViTYGUN_Alpha,GRAViTYGUN,Alpha,교촌 Before,1,0.00%,GRAViTYGUN ,,
GTA_Alpha,GTA,Alpha,교촌 Before,1,0.00%,GTA ,,
GUNDAY_Alpha,GUNDAY,Alpha,교촌 Before,1,0.00%,GUNDAY ,,
Gaming_Alpha,Gaming,Alpha,교촌 Before,1,0.00%,Gaming ,,
Germany_Alpha,Germany,Alpha,교촌 Before,1,0.00%,Germany ,,
Ggee_Alpha,Ggee,Alpha,교촌 Before,1,0.00%,Ggee ,,
Gi_Alpha,Gi,Alpha,교촌 Before,1,0.00%,Gi ,,
Giseong_Alpha,Giseong,Alpha,교촌 Before,1,0.00%,Giseong ,,
Glock_Alpha,Glock,Alpha,교촌 Before,1,0.00%,Glock ,,
Gman_Alpha,Gman,Alpha,교촌 Before,1,0.00%,Gman ,,
Go_Alpha,Go,Alpha,교촌 Before,1,0.00%,Go ,,
God_Alpha,God,Alpha,교촌 Before,1,0.00%,God ,,
Golden_Alpha,Golden,Alpha,교촌 Before,2,0.00%,Golden Golden ,,
Goo_Alpha,Goo,Alpha,교촌 Before,1,0.00%,Goo ,,
Gpd_Alpha,Gpd,Alpha,교촌 Before,2,0.00%,Gpd Gpd ,,
Guk_Alpha,Guk,Alpha,교촌 Before,1,0.00%,Guk ,,
Guobaorou_Alpha,Guobaorou,Alpha,교촌 Before,1,0.00%,Guobaorou ,,
Gwak_Alpha,Gwak,Alpha,교촌 Before,1,0.00%,Gwak ,,
H_Alpha,H,Alpha,교촌 Before,12,0.02%,H H H H H H H H H H H H ,,
HAAN_Alpha,HAAN,Alpha,교촌 Before,1,0.00%,HAAN ,,
HANMONO_Alpha,HANMONO,Alpha,교촌 Before,1,0.00%,HANMONO ,,
HI_Alpha,HI,Alpha,교촌 Before,1,0.00%,HI ,,
HONG_Alpha,HONG,Alpha,교촌 Before,2,0.00%,HONG HONG ,,
HR_Alpha,HR,Alpha,교촌 Before,1,0.00%,HR ,,
HS_Alpha,HS,Alpha,교촌 Before,1,0.00%,HS ,,
HYO_Alpha,HYO,Alpha,교촌 Before,1,0.00%,HYO ,,
Ha_Alpha,Ha,Alpha,교촌 Before,1,0.00%,Ha ,,
Hahaha_Alpha,Hahaha,Alpha,교촌 Before,1,0.00%,Hahaha ,,
Han_Alpha,Han,Alpha,교촌 Before,2,0.00%,Han Han ,,
HanaiStory_Alpha,HanaiStory,Alpha,교촌 Before,1,0.00%,HanaiStory ,,
Hanley_Alpha,Hanley,Alpha,교촌 Before,1,0.00%,Hanley ,,
Harru_Alpha,Harru,Alpha,교촌 Before,1,0.00%,Harru ,,
Harry_Alpha,Harry,Alpha,교촌 Before,1,0.00%,Harry ,,
HayanTree_Alpha,HayanTree,Alpha,교촌 Before,27,0.04%,HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree ,,
Hearing_Alpha,Hearing,Alpha,교촌 Before,1,0.00%,Hearing ,,
Hee_Alpha,Hee,Alpha,교촌 Before,1,0.00%,Hee ,,
Hein_Alpha,Hein,Alpha,교촌 Before,1,0.00%,Hein ,,
Heyhay_Alpha,Heyhay,Alpha,교촌 Before,1,0.00%,Heyhay ,,
Hi_Alpha,Hi,Alpha,교촌 Before,1,0.00%,Hi ,,
High_Alpha,High,Alpha,교촌 Before,1,0.00%,High ,,
Hinatea_Alpha,Hinatea,Alpha,교촌 Before,1,0.00%,Hinatea ,,
Ho_Alpha,Ho,Alpha,교촌 Before,1,0.00%,Ho ,,
HoHo_Alpha,HoHo,Alpha,교촌 Before,1,0.00%,HoHo ,,
Hodor_Alpha,Hodor,Alpha,교촌 Before,1,0.00%,Hodor ,,
Holy_Alpha,Holy,Alpha,교촌 Before,1,0.00%,Holy ,,
HomeRun_Alpha,HomeRun,Alpha,교촌 Before,1,0.00%,HomeRun ,,
Honey_Alpha,Honey,Alpha,교촌 Before,3,0.00%,Honey Honey Honey ,,
Hong_Alpha,Hong,Alpha,교촌 Before,3,0.00%,Hong Hong Hong ,,
How_Alpha,How,Alpha,교촌 Before,3,0.00%,How How How ,,
Huen_Alpha,Huen,Alpha,교촌 Before,1,0.00%,Huen ,,
Hwang_Alpha,Hwang,Alpha,교촌 Before,1,0.00%,Hwang ,,
Hye_Alpha,Hye,Alpha,교촌 Before,1,0.00%,Hye ,,
Hyun_Alpha,Hyun,Alpha,교촌 Before,2,0.00%,Hyun Hyun ,,
Hyunkyung_Alpha,Hyunkyung,Alpha,교촌 Before,1,0.00%,Hyunkyung ,,
Hyunsoo_Alpha,Hyunsoo,Alpha,교촌 Before,1,0.00%,Hyunsoo ,,
I_Alpha,I,Alpha,교촌 Before,1,0.00%,I ,,
IG_Alpha,IG,Alpha,교촌 Before,1,0.00%,IG ,,
IMPOSSIBLE_Alpha,IMPOSSIBLE,Alpha,교촌 Before,1,0.00%,IMPOSSIBLE ,,
IN_Alpha,IN,Alpha,교촌 Before,3,0.00%,IN IN IN ,,
IPO_Alpha,IPO,Alpha,교촌 Before,2,0.00%,IPO IPO ,,
IUS_Alpha,IUS,Alpha,교촌 Before,2,0.00%,IUS IUS ,,
Ik_Alpha,Ik,Alpha,교촌 Before,1,0.00%,Ik ,,
Il_Alpha,Il,Alpha,교촌 Before,1,0.00%,Il ,,
Im_Alpha,Im,Alpha,교촌 Before,2,0.00%,Im Im ,,
Imsujin_Alpha,Imsujin,Alpha,교촌 Before,1,0.00%,Imsujin ,,
In_Alpha,In,Alpha,교촌 Before,1,0.00%,In ,,
Inoue_Alpha,Inoue,Alpha,교촌 Before,1,0.00%,Inoue ,,
Intannafia_Alpha,Intannafia,Alpha,교촌 Before,1,0.00%,Intannafia ,,
Invite_Alpha,Invite,Alpha,교촌 Before,1,0.00%,Invite ,,
Ip_Alpha,Ip,Alpha,교촌 Before,1,0.00%,Ip ,,
Isu_Alpha,Isu,Alpha,교촌 Before,1,0.00%,Isu ,,
J_Alpha,J,Alpha,교촌 Before,16,0.02%,J J J J J J J J J J J J J J J J ,,
JA_Alpha,JA,Alpha,교촌 Before,1,0.00%,JA ,,
JACQUELINE_Alpha,JACQUELINE,Alpha,교촌 Before,1,0.00%,JACQUELINE ,,
JAYS_Alpha,JAYS,Alpha,교촌 Before,1,0.00%,JAYS ,,
JD_Alpha,JD,Alpha,교촌 Before,1,0.00%,JD ,,
JEONG_Alpha,JEONG,Alpha,교촌 Before,1,0.00%,JEONG ,,
JH_Alpha,JH,Alpha,교촌 Before,4,0.01%,JH JH JH JH ,,
JHN_Alpha,JHN,Alpha,교촌 Before,1,0.00%,JHN ,,
JK_Alpha,JK,Alpha,교촌 Before,1,0.00%,JK ,,
JMT_Alpha,JMT,Alpha,교촌 Before,2,0.00%,JMT JMT ,,
JN_Alpha,JN,Alpha,교촌 Before,1,0.00%,JN ,,
JOIN_Alpha,JOIN,Alpha,교촌 Before,1,0.00%,JOIN ,,
JS_Alpha,JS,Alpha,교촌 Before,1,0.00%,JS ,,
JTBC_Alpha,JTBC,Alpha,교촌 Before,1,0.00%,JTBC ,,
JUNG_Alpha,JUNG,Alpha,교촌 Before,1,0.00%,JUNG ,,
JUSTIN_Alpha,JUSTIN,Alpha,교촌 Before,1,0.00%,JUSTIN ,,
JW_Alpha,JW,Alpha,교촌 Before,1,0.00%,JW ,,
JY_Alpha,JY,Alpha,교촌 Before,1,0.00%,JY ,,
Jacob_Alpha,Jacob,Alpha,교촌 Before,1,0.00%,Jacob ,,
Jade_Alpha,Jade,Alpha,교촌 Before,1,0.00%,Jade ,,
Jaehyun_Alpha,Jaehyun,Alpha,교촌 Before,1,0.00%,Jaehyun ,,
Jaeyeon_Alpha,Jaeyeon,Alpha,교촌 Before,1,0.00%,Jaeyeon ,,
James_Alpha,James,Alpha,교촌 Before,3,0.00%,James James James ,,
Jan_Alpha,Jan,Alpha,교촌 Before,1,0.00%,Jan ,,
Jang_Alpha,Jang,Alpha,교촌 Before,1,0.00%,Jang ,,
Jars_Alpha,Jars,Alpha,교촌 Before,1,0.00%,Jars ,,
Jason_Alpha,Jason,Alpha,교촌 Before,2,0.00%,Jason Jason ,,
Javid_Alpha,Javid,Alpha,교촌 Before,1,0.00%,Javid ,,
Jay_Alpha,Jay,Alpha,교촌 Before,4,0.01%,Jay Jay Jay Jay ,,
Jback_Alpha,Jback,Alpha,교촌 Before,1,0.00%,Jback ,,
Jeremy_Alpha,Jeremy,Alpha,교촌 Before,1,0.00%,Jeremy ,,
Ji_Alpha,Ji,Alpha,교촌 Before,2,0.00%,Ji Ji ,,
JiYong_Alpha,JiYong,Alpha,교촌 Before,1,0.00%,JiYong ,,
Jisu_Alpha,Jisu,Alpha,교촌 Before,1,0.00%,Jisu ,,
Jiwon_Alpha,Jiwon,Alpha,교촌 Before,1,0.00%,Jiwon ,,
JoJo_Alpha,JoJo,Alpha,교촌 Before,1,0.00%,JoJo ,,
Joe_Alpha,Joe,Alpha,교촌 Before,1,0.00%,Joe ,,
John_Alpha,John,Alpha,교촌 Before,1,0.00%,John ,,
Jr_Alpha,Jr,Alpha,교촌 Before,1,0.00%,Jr ,,
Juan_Alpha,Juan,Alpha,교촌 Before,1,0.00%,Juan ,,
Jul_Alpha,Jul,Alpha,교촌 Before,1,0.00%,Jul ,,
Jun_Alpha,Jun,Alpha,교촌 Before,1,0.00%,Jun ,,
JunHyuck_Alpha,JunHyuck,Alpha,교촌 Before,1,0.00%,JunHyuck ,,
Jung_Alpha,Jung,Alpha,교촌 Before,2,0.00%,Jung Jung ,,
Junghwa_Alpha,Junghwa,Alpha,교촌 Before,2,0.00%,Junghwa Junghwa ,,
Junong_Alpha,Junong,Alpha,교촌 Before,1,0.00%,Junong ,,
K_Alpha,K,Alpha,교촌 Before,63,0.09%,K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K ,,
KAGE_Alpha,KAGE,Alpha,교촌 Before,1,0.00%,KAGE ,,
KANG_Alpha,KANG,Alpha,교촌 Before,1,0.00%,KANG ,,
KBS_Alpha,KBS,Alpha,교촌 Before,3,0.00%,KBS KBS KBS ,,
KD_Alpha,KD,Alpha,교촌 Before,1,0.00%,KD ,,
KFC_Alpha,KFC,Alpha,교촌 Before,2,0.00%,KFC KFC ,,
KIM_Alpha,KIM,Alpha,교촌 Before,2,0.00%,KIM KIM ,,
KJ_Alpha,KJ,Alpha,교촌 Before,1,0.00%,KJ ,,
KOREA_Alpha,KOREA,Alpha,교촌 Before,1,0.00%,KOREA ,,
Kane_Alpha,Kane,Alpha,교촌 Before,1,0.00%,Kane ,,
Kanehara_Alpha,Kanehara,Alpha,교촌 Before,1,0.00%,Kanehara ,,
Kang_Alpha,Kang,Alpha,교촌 Before,1,0.00%,Kang ,,
Kevin_Alpha,Kevin,Alpha,교촌 Before,2,0.00%,Kevin Kevin ,,
Kim_Alpha,Kim,Alpha,교촌 Before,24,0.03%,Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim Kim ,,
Kimchi_Alpha,Kimchi,Alpha,교촌 Before,1,0.00%,Kimchi ,,
Kkkk_Alpha,Kkkk,Alpha,교촌 Before,2,0.00%,Kkkk Kkkk ,,
KoSungJin_Alpha,KoSungJin,Alpha,교촌 Before,1,0.00%,KoSungJin ,,
Koo_Alpha,Koo,Alpha,교촌 Before,1,0.00%,Koo ,,
Korea_Alpha,Korea,Alpha,교촌 Before,1,0.00%,Korea ,,
Korean_Alpha,Korean,Alpha,교촌 Before,3,0.00%,Korean Korean Korean ,,
Kru_Alpha,Kru,Alpha,교촌 Before,1,0.00%,Kru ,,
Kwon_Alpha,Kwon,Alpha,교촌 Before,1,0.00%,Kwon ,,
Kyochon_Alpha,Kyochon,Alpha,교촌 Before,5,0.01%,Kyochon Kyochon Kyochon Kyochon Kyochon ,,
KyungRyong_Alpha,KyungRyong,Alpha,교촌 Before,1,0.00%,KyungRyong ,,
Kyuyoung_Alpha,Kyuyoung,Alpha,교촌 Before,1,0.00%,Kyuyoung ,,
L_Alpha,L,Alpha,교촌 Before,11,0.02%,L L L L L L L L L L L ,,
LDH_Alpha,LDH,Alpha,교촌 Before,1,0.00%,LDH ,,
LEARN_Alpha,LEARN,Alpha,교촌 Before,1,0.00%,LEARN ,,
LEE_Alpha,LEE,Alpha,교촌 Before,3,0.00%,LEE LEE LEE ,,
LIVE_Alpha,LIVE,Alpha,교촌 Before,4,0.01%,LIVE LIVE LIVE LIVE ,,
LO_Alpha,LO,Alpha,교촌 Before,1,0.00%,LO ,,
Lafayet_Alpha,Lafayet,Alpha,교촌 Before,1,0.00%,Lafayet ,,
Lee_Alpha,Lee,Alpha,교촌 Before,17,0.02%,Lee Lee Lee Lee Lee Lee Lee Lee Lee Lee Lee Lee Lee Lee Lee Lee Lee ,,
LeeJoy_Alpha,LeeJoy,Alpha,교촌 Before,1,0.00%,LeeJoy ,,
Leelu_Alpha,Leelu,Alpha,교촌 Before,1,0.00%,Leelu ,,
Len_Alpha,Len,Alpha,교촌 Before,1,0.00%,Len ,,
Let_Alpha,Let,Alpha,교촌 Before,1,0.00%,Let ,,
Lo_Alpha,Lo,Alpha,교촌 Before,1,0.00%,Lo ,,
Log_Alpha,Log,Alpha,교촌 Before,5,0.01%,Log Log Log Log Log ,,
Lucas_Alpha,Lucas,Alpha,교촌 Before,1,0.00%,Lucas ,,
Luder_Alpha,Luder,Alpha,교촌 Before,1,0.00%,Luder ,,
Lulang_Alpha,Lulang,Alpha,교촌 Before,1,0.00%,Lulang ,,
M_Alpha,M,Alpha,교촌 Before,27,0.04%,M M M M M M M M M M M M M M M M M M M M M M M M M M M ,,
MAD_Alpha,MAD,Alpha,교촌 Before,1,0.00%,MAD ,,
