,comment
10,"텐더를 반으로 잘라서 튀긴 후 이만원받기 ㅋㅋㅋㅋ진짜 너무하다 
순살이라면서 뻑뻑살만 가득"
11,형 2000원이 아니라 20000원을 손해본거야..
12,비비큐 이렇게 그냥 넘어가면 나중에 다 돌아갈텐데...
13,작비가 얼마나 맛없으면 양념을 안먹을까 bbq 망했네
14,"개인적으로 BBQ 왜시켜먹는지 모르겠음..
그렇게 뒤통수를 갈겨댔는데 먹고싶나..."
15,다들 궁금하다고 시켜보지 마시고 불매합시다
16,님들 저거 보다 하림에서 파는 11000원 짜리 치킨텐더가 훨씬 맛있음 +추가로 치즐링순살도 저텐더에 가루만 뿌려서 나옴
17,"오늘 영상은 많이 이슈가 되고있는 소재라서, 많이 조심스럽지만 그래도 제 의견을 반영해봤습니다! 
무슨상황이신지 모를분들을 위해 자세한설명을 못해드린점은 죄송합니다.
자세한 내용은 네이버 혹은 홍사운드님의 영상을 보시면 될거같습니다!   영상 보러와주셔서 감사합니다."
18,저진지한 영상을 찍기위해 치킨을 시키고 찍은후엔 다 드셨을듯.....
19,무슨일인지부터 설명을 먼저 해주시지...
20,아니 유튜브랑 본사에서도 사과하고 난리인데  아직도 지점에서 저러고있네.....
21,우리작비형 진짜간만에왔는데 여전히 방송잘하네 처음부터봤는데 응원할게
22,Keep up the awesome job !! Lovin' it!
23,텐더 잘라놓은 생김새임...
24,순살이랑 속안심 비교 해주시징..
25,"그래서 나 문상은 언제 보내줍니까..
먗달전에 당첨됬는데"
26,와 양심이 어띠가셨지...
27,bbq에는 이슈가 너무 많이 이슈
28,"치킨이 출시되면 ... 보통 사진하고 똑같지는 않아도 얼추 모양이 비슷해야 하지 않나?
마음이 급해서 사진부터 내놓고 미처 준비도 안해놓고 가맹점에서 팔게 한거 아닌가?? 저기에 순살이 몇프로고 안심이 몇프로를 떠나서 넘 다르잖아 
사먹은 사람은 뭐가되고 ...본사에서 주는데로 파는 사람들은 뭐가 되는거야...저건 직원,가맹점 교육 문제가 아니잖아  진짜 화나네"
29,비비큐가 뭐라 대책을 말했는데...
30,주건작이여서 쭐여서 주작이여서
31,나 같으면..일단주면머금^^
32,형 하트고파
33,"이거 너무한거 아니냐고!
너무 배고프자너!"
34,사과를 해도 쳐 이렇게 파네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 미친 새끼들 점주만의 탓인가? 그건 아니였어
35,진지하다며 평소보다 더 웃겨 ㅋㅋ
36,흐어엉ㅠㅠ
37,"너무한거 같네요 사기나 치고 ㅠㅠ 내돈 
(cheonsh2550@naver.com)"
38,"형이 음식에 진지하다는 것은..얼마나 심각한거야?
(juna040803@naver.com)"
39,진지한영상 붙여서 안 진지한듯
40,"1등으로 좋아요 달았다!!!!!!!!!!!!!!
(junmo8171@naver.com)"
41,마시께따ㅠㅠ 작비님 저도 주세요요요오ㅗ우ㅠㅠ
42,먹방이 진지할수더 있지 ㅋㅋ
43,"진지하게하니까 보기 편하구 재미있어요
재밌게보면 안되는데😭😭,."
44,ㅎ  작비형 귀여워
45,"진접에 아주 맛있는 숨겨진 맛집이 있습니다. 평점도 좋고 리뷰도 좋습니다. -수제안심치킨-입니다
맛 평가 부탁두려용~~^~^"
46,아 맜있겠다 쩝....
47,"아직개선이안됐네여 언제쯤개선이될까요??
(msperk8@naver.com)"
48,응 BBQ 안사먹어^^ 졷같은것들아
49,아.. 먹고싶다 ㅠㅠ 역시 치킨 리뷰하면 작비지! ㅋㅋㅋ
50,ㄷㄷ작비의 황금올리브
51,티테네넴ㅂ
52,작하
53,작하
54,넌 머야;;;
55,형....그거 1만7천원으로바꼈는데
56,형 하이
57,치킨에 진지해지는 작비 그는 치킨책
58,안타까운게 아니라 실망스러운거지...
59,와울
60,오늘 저녁 치킨 먹었는데
61,탠더를 1개 시키지....
62,맛있겟다 츄릅
63,솔까 사기임
64,작비님 사랑해요
65,근데 치킨은 언제나 맛있어
66,형나일찍왔으니까하트좀
67,ㄴㅊㄴ
68,형나 늦게왔으니까  하트좀  따랑해~♡  )죄송합니다 (
69,ㅎㅎ
70,무슨 일이에요?
71,1등 ㅎㅎ
72,BBQ다음주에 정식 출시한대요
73,비비큐 신작 출시 말하면 무조껀 쫌 있다가 후기보고 먹어야겠네
74,처갓집 슈프림양념 치킨 먹어주세요
75,형 bbq순살 사기라네 철자법이 틀릴치 모르지만 형 알고있어요~~
76,비비큐 황올은 그냥 닭다리로 다 달라는게 순살보다 나은것같아요
77,형 치킨먹고싶어
78,"치킨=고기=돼지=작비
(4k2068@gmail.com)"
79,거사기에요
80,작비님 맛있어요? 🐷🐷🐷🐷🐷
81,황금올리브 그 특유의 맛은 나나요??
82,"그걸로 ASMR해보세요
개굴쨈일듯"
83,결론 작비는 치킨은 왠만해선 다 좋아한다
84,음식먹을때만 진지한 작비씨
85,작비 개잘생겼네 사랑해
86,배댓되는 빙법이뭐죠?
87,어쨌든 드실거면서 .. ㅎㅎ
88,다먹고 모자랐죠?
89,작비 얼굴 내얼굴
90,나고정좀해줘
91,내가 첫번짼데 작비 댓글 한개도업네
92,"형 나언재쯤 문상 받아?
(01082242120dj@gmail.com)"
93,살뺀거 같드앙
94,100빠
95,안녕하세요
96,2만원이상이면 족발 먹는게 이득
97,근데 왜 논란임?
98,돼지샊이
99,안녕하세요
100,BBQ : 어차피 대중들은 개돼지입니다. 그 뭐 하러 개돼지들한테 신경을 쓰시고 그러십니까? 적당히 짖어대다가 알아서 조용해질 겁니다.
101,진지남 작비
102,아싸나1빠
103,작비형 살좀 빠진거같은데?!
104,지구젤리에 주사기로 캡사이신 넣어서 지미한테 먹여주세여
105,형 치킨먹을려고 찍은거는 아니겠지
106,근데 또 비비큐 치킨이 바삭함은 시간 지나도 유지해줌 
107,머때문인데그래서
108,1빠
109,비비큐 계속사기를 치는구나
110,얼굴이 크래미처럼 생깃노
111,ㅇ
112,ㅇ
113,형 하트 좀 주라♥
114,작비는 진지하거나 대충하거나 일단 먹음
115,0:00 ●──────────── 5:23 ⇆ㅤㅤㅤㅤ◁ㅤㅤ❚❚ㅤㅤ▷ㅤㅤㅤㅤ↻
116,치킨 맛있쪙
117,작비는 편식을 안한다=뭐든지 먹는다
118,1빠
119,1빠
120,작비는 그냥제미있음
121,아 베댓먹어야하는데 댓글이 생각이 안나!!!!!!!
122,홍사운드 내가봄
123,그냥 치킨을 먹고 싶어서 시킨것도 있을듯..
124,형
125,작비다
126,돼----------지
127,"퍽퍽하면 노맛인데
(dlwnsdn0218@naver.com)"
128,BBQ 쓸데없이 신제품 나온적 없다고 추하게 발악하더니 결국 사과하네;; 18000원 짜리 텐더 20000원 주고 사먹은 사람한테 배상은 안해주냐?
129,1빠
130,죄송하지만 무슨 이슈인지..?
131,+1.5kg
132,순살있는데 사기치는 지점이있어요
133,궁금하다 핑계치고 쳐먹는 작비
134,ㅡ
135,굽네치킨 미만잡
136,비비큐는 그냥 돈버리려고 시키는 치킨 아니었냐?
137,"음....작비님도 찍군요
잘 보고 갑니다"
138,"0:52 지미님, 왜 제가 할 말을 가로채시죠??!"
139,저거텐더 맞음  근데이름만 밖꾸고    가격만올린거임
140,2
141,Diet Bruh
142,아니 1등이 몇명이야...
143,1
144,1
145,1
146,1
147,1
148,1
149,오우 작비님 대단이 사기먹으셨네요
150,형 살뺄맘 없지 나는 알아 (^^)
151,1
152,그냥 치킨 먹고싶어서 시킨거잖아
153,"비비큐 회장이 미국에 자식한테 회삿돈을..
또 일본우익단체랑 응응"
154,이거 텐더로 만든거임
155,Oh
156,이걸 또 우려먹는다라
157,형 그거 텐더야
158,나 같으면 그냥 순살크래커 시켜먹었음 그것도 맛있더라
159,1
160,와 미친 저 주작충들
161,님들아 빠놀이 작작좀;;
162,비비큐는 갓이다
