,comment
10,근데 언뜻보면 착각할만큼 비슷하게 생겼네요.. 광고할때 사진으로 사기치는것도 적당히해야지ㅋㅋ 광고사진은 거의 완자수준으로 동그랗더만.. 그리고 솔직히 순살에 뻑살이 많아서 속안심이랑 맛도 차이 없어보이고.. 유튜버님 물들어올때 노 잘저으셨네요 승승장구하세요ㅋㅋ 예쁘고 목소리도좋으세요
11,4:36 졸귀네용 ㅋㅋ
12,진심 BBQ는 믿고 걸러야 합니다. 아직도 BBQ먹는 흑우 없제?
13,에초에 순살자체도 사진처럼 안생긴듯..
14,(^・ω・^ )💖 꺄아아아아
15,제대로 비교 후기네요~  영상 완전 잘봤어요👍👍
16,둘다 비슷한데 다르네영ㅎㅎㅎㅎ 역시 솔직한 리뷰👍👍👍
17,Wow good good 👍
18,Your so cute!!!!!!!!!
19,솔직한 리뷰 감사합니다!👍🏻👍🏻
20,오늘왜케이뻐요^^💕엄청바싹바싹하긴하네요~ 순살은 가슴살/닭다리살이 섞여있네용ㅎ!안심이부드럽긴하죠^^맥주땡기네용 리뷰잘보고가요^^
21,손가락 제스쳐 ㅋㅋㅋ 귀여우세요
22,유튜브 잘보고 있습니당~ 응원합니당
23,마지막 빠잉 너무 커여워요 ㅠㅠ BBQ는 안 먹지만 비교 잘 보고가용!
24,잘봤습니다:)
25,눈팅만하다가 구독 눌러요ㅎ 댓글도 처음 달아보네용 구독자 130명인가 그때 알았는데 어느새 800명이네요 화이팅!!!!
26,Nice crunch 😊
27,"메리유 씨 앙넝 오늘 치킨 먹었네용 바삭 바삭하게 맛있게 드시는 게 기분이 좋아졌네용❤️❤️
느낌:너무 귀여워따👀👀"
28,진심이 느껴지네요..감사합니다 🐔
29,"닭은 뭘먹어도 맛있는듯 좋은 정보 감사합니다 ㅎㅎ
소통하며 응원드려요~~3꾹"
30,소진닮으셨네
31,이쁜 메리유님 화이팅입니다!~
32,이 영상을 계기로 떡상하는 유튭이 되길
33,"제품이 잘 못 되었어요
닭가슴살이 들어간 퍽퍽한 치킨
순살이 아닙니다"
34,저.. 순살시켰는대 안심왔어요 ㅠ
35,요즘 황금올리브순살때문에말이 많은거같아요. 앞으로는사기당하시는분들이 없으셨으면...ㅠ.ㅠ
36,뭐가 다르냐 ㅋㅋ그냥텐더 반 잘라서 튀기면 뭐가 틀려 ㅋㅋㅋㅋㅋㅋㅋㅋ
37,"본사 대처후 시킨거자나
그전에 비교했어야맞는거지
순서가 틀린거같네"
38,먹는게 ㄹㅇ 악어 같이 먹는다 ㅋㅋ
39,"정말 오른쪽이 더 맛있어 보이네요
가격도 순살보다 저렴하니 담엔 속안심으로^^
글구 넘 귀여워요 4:40 ㅎㅎ"
40,3빠
41,구독했어요 치킨주세요
42,현실적인 미인이라 구독
43,비비큐는 거의 안시켜먹기는하지만 솔직리뷰 잘 참고할게요💓💓💓
44,다행히 우리 소중한 우리 메리유님께서는 당하지 않으시고 리얼 확실하게 리뷰해주셔서 더욱 믿음을 가지고 신뢰하며 볼 수 있는 우리 메리유님의 영상들 이런 좋은영상이 다른사람들에게 널리 전파되어 성장하시고 초심을 유지하시는 메리유님이 되시기만을 바랍니다 항상 사랑하고 응원합니다
45,이거 bbq 영상올리면 알반지 뭔지 물타기 테러댓글들 많더군요. 어이없어서 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
46,치킨 궁금해왓다가 너무이쁘셔서 구독하고갑니다 ㅋㅋ 정말 이쁘시네요 ㅋㅋ
47,믿거 ... 속안심이 더 맛잇다니?!
48,이쁜 교회 누나같다
49,황올 뼈랑 순살 중엔 뭐가 더 낫나여
50,보는데 왤케 구분이안가냐...
51,"음..요즘 비비큐가 논란이 되고있군요 ㅠㅠ
늘 잘 시켜먹었었는데.. 이런일이 있었다니!!
메리유님 자세하게 설명해주셔서 비교가 확실히 되네요^^"
52,"치킨텐더를 반으로 잘라 튀기면
순살아닌가요? ㅎㅎㅎ
도대체 왜 3000원 차이가 나는지 
모르겠네요"
53,근데 뭐가 됬든 치킨 둘다 맛나보이긴 하네요 ㅋ
54,이쁘다...
55,비비큐는 옛날부터 닭가슴살 참 잘 정리하는듯
56,주둥이가 긴걸 보아하니 돈 받았구나
57,hi good sharing video thank you very much
58,전단지 사진이랑 실제랑 모양이 완전 달라요. 사기 맞아요.
59,예쁘게 먹기 실패!
60,아직 비비큐 시켜먹는 흑우 없제??
61,인기비제이 고말숙님과 많이 닮으셨네요
62,요즘논란이 된 애들이군요  두개가차이가 있긴 있네요  비교  감사합니다
63,"사기꾼들 불매해야하는 판에 ㅋㅋ
사서 광고해주고있네"
64,간만에 왔어요! 아직 안먹어봤는데 정직하게 주는 매장도 있네요😆 꺼려져서 안먹어보게 되었는데 한번 먹어봐야겠어요⭐️ 오늘도 컨디션 그럭저럭 나쁘진 않아 보이세요! 굿나잇🌙
65,아오 개빡쳐~먹는거가지고 장난치는새끼들이 잘되는꼴은 못보지.
66,줄줄이 다 따라하네 좀 창작좀 해보시길
67,논란의 황금올리브순살과 황금올리브속안심살이네요👍👍이렇게 비교 영상 너무 좋아요❤😍속안심살은 길쭉길쭉 치킨텐더 같네요.! 비교영상 빠르게 찍어주셔서 재미있게 잘 보았어요😄👍👍
68,"뭐를 잘못하신거같은데 BBQ는 사건이 커지고 순간 대비를 한겁니다.
네이버 리뷰나 배달 어플 리뷰 보시면 거의 대부분이 텐더로 왔더라구요 
그러니까 이런 영상 보기 불편합니다"
69,"솔직히 순살치킨은 배달안시키고 
집에서 에어프라이어로 해먹는게 짱임
이곳저곳 다 시켜봐도 튀김옷, 고기종류 같은 게 너무 별로임"
70,진짜 먹는거 안 좋아하게 생겼네
71,인형이 말을하네♥
72,한매장에서 두개를 한주소지로 시키면 설령 사기치려다가도 제대로 주겠다...개답답하네
73,와 먹는데 3분걸려..ㅎ
74,에휴 한지점에서 시키면 뻔하지 생각좀..
75,유튜버들 왜자꾸 팩트정리 ㅇㅈㄹ하면서 시켜먹는거임??? 궁금하지도않을뿐더러ㅌㅋㅋㅋㅋ 같은매장에 비교한답시고 문제의 치킨 두개를 동시에 시켜대는데 ㅋㅋ이난리통이낫는데 진짜 미치지않은이상 이젠 제대로주겟지 그렇다해도 안시켜먹을거고 왜 개돼지같은 짓을 하고잇는거지 ?논란탑승 하지마시고 다른거리뷰하세요 비비큐는 좋겟네 사기를쳐도 유튜버들 땜에 안망하게생겻네~
76,"Lots of fried chicken, Merry. Give me some please..  Hihihihiii..  :D 
I just ate fried squids..  So full.. Hahahahhaa.."
77,"여기 유트브 구성을 잘못함.
이미 다른 유트브 에서 직접 사기당해 뉴스 나 여러 유트버 에서 컨텐츠 삼아 올리는 경우 가 많지만
그래도 확실하게 사건 내용과  최초의 유트브 대해 소개 를 하면서 영상 편집 및 내용을 작성하는데."
78,이 채널 성장합니다
79,BBQ직원들이 싫어요 40개 누르고 감.. 진심 소름돋는다 X발
80,옹호가 문제가 아니라 ㅋㅋㅋ 대조해 보기 위해 비비큐를 소비하게 되는 건데 이게 문제예요
81,아 말많네요 빨리좀 먹지 ㅡㅡ
82,"먹을 때 너무 입 벌리고 한쪽으로 먹는거 되게 보기 싫네요,,, ^^;"
83,그래서 어쩌라고요 ? 당한사람들이있는데 그사람들 바보만드는거예요 ?
84,
